Indinavir | drug
phenobarbital | drug
primidone | drug
Valproate | drug
tiagabine | drug
valproate | drug
tiagabine | drug
valproate | drug
tiagabine | drug
Cimetidine | drug
cimetidine | drug
tiagabine | drug
tiagabine | drug
Theophylline | drug
tiagabine | drug
theophylline | drug
Warfarin | drug
R-warfarin | drug
S-warfarin | drug
tiagabine | drug
tiagabine | drug
Digoxin | drug
tiagabine | drug
digoxin | drug
digoxin | drug
Ethanol | drug
Triazolam | drug
triazolam | drug
tiagabine | drug
ethanol | drug
tiagabine | drug
Tiagabine | drug
alcohol | drug
ethanol | drug
triazolam | drug
tiagabine | drug
tiagabine | drug
Antipyrine | drug
Antipyrine | drug
tiagabine | drug
tiagabine | drug
antipyrine | drug
tiagabine | drug
tiagabine | drug
Cimetidine | drug
cimetidine | drug
Cimetidine | drug
dofetilide | drug
Cimetidine | drug
dofetilide | drug
cimetidine | drug
omeprazole | drug
ranitidine | drug
aluminum hydroxide | drug
magnesium hydroxide | drug
cimetidine | drug
Verapamil | drug
verapamil | drug
verapamil | drug
dofetilide | drug
dofetilide | drug
verapamil | drug
dofetilide | drug
Ketoconazole | drug
ketoconazole | drug
Ketoconazole | drug
dofetilide | drug
Trimethoprim | drug
Sulfamethoxazole | drug
trimethoprim | drug
sulfamethoxazole | drug
Hydrochlorothiazide | drug
HCTZ | drug
Triamterene | drug
HCTZ | drug
triamterene | drug
HCTZ | drug
HCTZ | drug
triamterene | drug
HCTZ | drug
dofetilide | drug
dofetilide | drug
Dofetilide | drug
triamterene | drug
metformin | drug
amiloride | drug
dofetilide | drug
Dofetilide | drug
dofetilide | drug
amiodarone | drug
diltiazem | drug
nefazadone | drug
norfloxacin | drug
quinine | drug
zafirlukast | drug
dofetilide | drug
Dofetilide | drug
Digoxin | drug
digoxin | drug
digoxin | drug
dofetilide | drug
digoxin | drug
digoxin | drug
amlodipine | drug
phenytoin | drug
glyburide | drug
ranitidine | drug
omeprazole | drug
medroxyprogesterone | drug
aluminum hydroxide | drug
magnesium hydroxide | drug
theophylline | drug
warfarin | drug
propranolol | drug
phenytoin | drug
theophylline | drug
dofetilide | drug
dofetilide | drug
Magnesium | drug
magnesium | drug
magnesium | drug
magnesium | drug
magnesium | drug
magnesium | drug
magnesium | drug
magnesium | drug
magnesium | drug
magnesium | drug
magnesium | drug
magnesium | drug
magnesium | drug
magnesium | drug
magnesium | drug
magnesium | drug
magnesium | drug
magnesium salt | drug
magnesium | drug
vitamin B6 | drug
selenium | drug
magnesium | drug
magnesium | drug
magnesium | drug
magnesium | drug
magnesium | drug
Magnesium | drug
magnesium | drug
magnesium | drug
magnesium | drug
cardioplegic solutions | drug
theophylline | drug
theophylline | drug
norfloxacin | drug
theophylline | drug
theophylline | drug
theophylline | drug
cyclosporine | drug
cyclosporine | drug
norfloxacin | drug
cyclosporine | drug
cyclosporine | drug
norfloxacin | drug
warfarin | drug
norfloxacin | drug
glyburide | drug
norfloxacin | drug
probenecid | drug
norfloxacin | drug
nitrofurantoin | drug
nitrofurantoin | drug
Norfloxacin | drug
iron | drug
zinc | drug
sucralfate | drug
norfloxacin | drug
norfloxacin | drug
Didanosine | drug
norfloxacin | drug
norfloxacin | drug
caffeine | drug
caffeine | drug
alosetron | drug
alosetron | drug
Fluvoxamine | drug
fluvoxamine | drug
alosetron | drug
Fluvoxamine | drug
alosetron | drug
alosetron | drug
fluvoxamine | drug
alosetron | drug
cimetidine | drug
Ketoconazole | drug
ketoconazole | drug
alosetron | drug
Ketoconazole | drug
alosetron | drug
alosetron | drug
ketoconazole | drug
alosetron | drug
clarithromycin | drug
telithromycin | drug
voriconazole | drug
itraconazole | drug
alosetron | drug
alosetron | drug
alosetron | drug
alosetron | drug
alosetron | drug
isoniazid | drug
procainamide | drug
hydralazine | drug
theophylline | drug
alosetron | drug
ethinyl estradiol | drug
levonorgestrel | drug
alosetron | drug
cisapride | drug
cisapride | drug
alosetron | drug
alosetron | drug
Alosetron | drug
Alosetron | drug
alosetron | drug
cimetidine | drug
cimetidine | drug
cimetidine | drug
cimetidine | drug
cimetidine | drug
nortriptyline | drug
fluoxetine hydrochloride | drug
Fluoxetine | drug
reserpine | drug
nortriptyline hydrochloride | drug
alcohol | drug
debrisoquin | drug
dextromethorphan | drug
carbamazepine | drug
propafenone | drug
flecainide | drug
encainide | drug
quinidine | drug
estradiol | drug
estradiol | drug
estradiol | drug
estradiol | drug
estradiol | drug
estradiol | drug
alcohol | drug
estazolam | drug
estazolam | drug
carbamazepine | drug
phenytoin | drug
rifampin | drug
estazolam | drug
Estazolam | drug
estazolam | drug
estazolam | drug
ketoconazole | drug
itraconazole | drug
estazolam | drug
nefazodone | drug
fluvoxamine | drug
cimetidine | drug
diltiazem | drug
isoniazide | drug
Fluoxetine | drug
fluoxetine | drug
estazolam | drug
estazolam | drug
fluoxetine | drug
Estazolam | drug
estazolam | drug
estazolam | drug
Olanzapine | drug
Olanzapine | drug
olanzapine | drug
haloperidol | drug
olanzapine | drug
haloperidol | drug
olanzapine | drug
risperidone | drug
olanzapine | drug
risperidone | drug
risperidone | drug
olanzapine | drug
olanzapine | drug
risperidone | drug
haloperidol | drug
olanzapine | drug
risperidone | drug
olanzapine | drug
olanzapine | drug
Olanzapine | drug
haloperidol | drug
risperidone | drug
olanzapine | drug
clozapine | drug
risperidone | drug
olanzapine | drug
haloperidol | drug
olanzapine | drug
risperidone | drug
olanzapine | drug
olanzapine | drug
olanzapine | drug
haloperidol | drug
risperidone | drug
olanzapine | drug
Olanzapine | drug
haloperidol | drug
risperidone | drug
Olanzapine | drug
haloperidol | drug
haloperidol | drug
risperidone | drug
olanzapine | drug
ethanol | drug
ethanol | drug
Acetaminophen | drug
lidocaine | drug
phenobarbital | drug
quinidine | drug
theophylline | drug
valproic acid | drug
acetaminophen | drug
phenobarbital | drug
acetaminophen | drug
theophylline | drug
lidocaine | drug
quinidine | drug
phenobarbital | drug
acetaminophen | drug
phenobarbital | drug
valproic acid | drug
quinidine | drug
lidocaine | drug
theophylline | drug
acetaminophen | drug
valproic acid | drug
phenobarbital | drug
phenobarbital | drug
quinidine | drug
theophylline | drug
ethanol | drug
Acetaminophen | drug
theophylline | drug
Theophylline | drug
acetaminophen | drug
phenobarbital | drug
Valproic acid | drug
phenobarbital | drug
ethanol | drug
acetaminophen | drug
theophylline | drug
phenobarbital | drug
acetaminophen | drug
valproic acid | drug
phenobarbital | drug
anileridine | drug
Clonazepam | drug
Clonazepam | drug
phenytoin | drug
carbamazepine | drug
phenobarbital | drug
clonazepam | drug
Clonazepam | drug
ranitidine | drug
clonazepam | drug
clonazepam | drug
propantheline | drug
clonazepam | drug
clonazepam | drug
propantheline | drug
Fluoxetine | drug
clonazepam | drug
phenytoin | drug
carbamazepine | drug
phenobarbital | drug
clonazepam | drug
clonazepam | drug
clonazepam | drug
clonazepam | drug
alcohol | drug
Vitamin D2 | drug
Vitamin D3 | drug
Calcitriol | drug
Calcidiol | drug
Cholestyramine | drug
Cholestyramine | drug
Phenytoin | drug
Phenobarbital | drug
phenytoin | drug
phenobarbital | drug
calcitriol | drug
calcitriol | drug
calcium | drug
Ketoconazole | drug
Ketoconazole | drug
ketoconazole | drug
ketoconazole | drug
Calcium | drug
calcium | drug
Magnesium | drug
Magnesium | drug
lithium | drug
lithium carbonate | drug
buspirone hydrochloride | drug
buspirone HCl | drug
buspirone HCl | drug
trazodone hydrochloride | drug
buspirone HCl | drug
buspirone HCl | drug
haloperidol | drug
haloperidol | drug
buspirone | drug
phenytoin | drug
propranolol | drug
warfarin | drug
buspirone | drug
warfarin | drug
phenytoin | drug
phenobarbital | drug
digoxin | drug
levothyroxine sodium | drug
buspirone | drug
digoxin | drug
dexamethasone | drug
dexamethasone | drug
prochlorperazine | drug
prochlorperazine | drug
Enflurane | drug
Enflurane | drug
halothane | drug
nitrous oxide | drug
Aliskiren | drug
aliskiren | drug
lovastatin | drug
atenolol | drug
warfarin | drug
furosemide | drug
digoxin | drug
celecoxib | drug
hydrochlorothiazide | drug
ramipril | drug
valsartan | drug
metformin | drug
amlodipine | drug
aliskiren | drug
irbesartan | drug
aliskiren | drug
atorvastatin | drug
aliskiren | drug
Ketoconazole | drug
ketoconazole | drug
aliskiren | drug
aliskiren | drug
aliskiren | drug
Aliskiren | drug
Aliskiren | drug
aliskiren | drug
lovastatin | drug
digoxin | drug
valsartan | drug
amlodipine | drug
metformin | drug
celecoxib | drug
atenolol | drug
atorvastatin | drug
ramipril | drug
hydrochlorothiazide | drug
Warfarin | drug
aliskiren | drug
warfarin | drug
Furosemide | drug
aliskiren | drug
furosemide | drug
furosemide | drug
Esomeprazole | drug
esomeprazole | drug
esomeprazole | drug
phenytoin | drug
warfarin | drug
quinidine | drug
clarithromycin | drug
amoxicillin | drug
warfarin | drug
esomeprazole | drug
warfarin | drug
Esomeprazole | drug
esomeprazole | drug
esomeprazole | drug
diazepam | drug
diazepam | drug
diazepam | drug
diazepam | drug
Esomeprazole | drug
esomeprazole | drug
ketoconazole | drug
iron | drug
digoxin | drug
diazepam | drug
phenytoin | drug
quinidine | drug
esomeprazole | drug
clarithromycin | drug
pimozide | drug
Fondaparinux | drug
warfarin | drug
acetylsalicylic acid | drug
piroxicam | drug
digoxin | drug
fondaparinux sodium | drug
Fondaparinux | drug
warfarin | drug
acetylsalicylic acid | drug
piroxicam | drug
digoxin | drug
digoxin | drug
Fondaparinux | drug
fondaparinux | drug
fondaparinux | drug
fondaparinux sodium | drug
fondaparinux sodium | drug
cisplatin | drug
sodium thiosulfate | drug
cisplatin | drug
Sodium thiosulfate | drug
cisplatin | drug
thiosulfate | drug
cisplatin | drug
thiosulfate | drug
cisplatin | drug
Cisplatin | drug
thiosulfate | drug
cisplatin | drug
cisplatin | drug
thiosulfate | drug
thiosulfate | drug
cisplatin | drug
cisplatin | drug
thiosulfate | drug
cisplatin | drug
heparin | drug
acetylsalicylic acid | drug
dipyridamole | drug
Abciximab | drug
heparin | drug
heparin | drug
heparin | drug
loxapine | drug
lorazepam | drug
loxapine | drug
loxapine | drug
dexamethasone | drug
hydrocortisone | drug
Aminoglutethimide | drug
warfarin | drug
Potassium | drug
spironolactone | drug
amiloride | drug
triamterene | drug
potassium | drug
warfarin | drug
acenocoumarol | drug
Lithium | drug
lithium | drug
lithium | drug
lithium | drug
lithium | drug
lithium | drug
hydrochlorothiazide | drug
chlorthalidone | drug
furosemide | drug
digoxin | drug
propranolol | drug
atenolol | drug
naproxen | drug
cimetidine | drug
digoxin | drug
hydralazine | drug
Benazepril | drug
desloratadine | drug
erythromycin | drug
ketoconazole | drug
desloratadine | drug
azithromycin | drug
fluoxetine | drug
fluoxetine | drug
cimetidine | drug
desloratadine | drug
desloratadine | drug
Desloratadine | drug
Desloratadine | drug
Erythromycin | drug
Ketoconazole | drug
Azithromycin | drug
Fluoxetine | drug
Cimetidine | drug
isosorbide dinitrate | drug
Alcohol | drug
tolbutamide | drug
Glyburide | drug
glyburide | drug
Metformin | drug
metformin | drug
Digoxin | drug
digoxin | drug
Warfarin | drug
warfarin | drug
Diclofenac | drug
diclofenac | drug
Nateglinide | drug
furosemide | drug
propranolol | drug
captopril | drug
nicardipine | drug
pravastatin | drug
glyburide | drug
warfarin | drug
phenytoin | drug
acetylsalicylic acid | drug
tolbutamide | drug
metformin | drug
nateglinide | drug
nateglinide | drug
propranolol | drug
glyburide | drug
nicardipine | drug
warfarin | drug
phenytoin | drug
acetylsalicylic acid | drug
tolbutamide | drug
alcohol | drug
diazepam | drug
methadone | drug
heroin | drug
Cocaine | drug
amiloride | drug
Lithium | drug
lithium | drug
indomethacin | drug
Phospholine Iodide | drug
succinylcholine | drug
Phospholine Iodide | drug
Ketorolac | drug
Warfarin | drug
Digoxin | drug
Heparin | drug
warfarin | drug
ketorolac tromethamine | drug
ketorolac | drug
Ketorolac | drug
digoxin | drug
ketorolac | drug
ketorolac | drug
digoxin | drug
warfarin | drug
ibuprofen | drug
naproxen | drug
piroxicam | drug
acetaminophen | drug
phenytoin | drug
ketorolac tromethamine | drug
warfarin | drug
warfarin | drug
heparin | drug
heparin | drug
warfarin | drug
heparin | drug
Furosemide | drug
furosemide | drug
Probenecid | drug
probenecid | drug
ketorolac | drug
ketorolac | drug
probenecid | drug
Lithium | drug
lithium | drug
lithium | drug
lithium | drug
lithium | drug
Methotrexate | drug
methotrexate | drug
methotrexate | drug
methotrexate | drug
methotrexate | drug
phenytoin | drug
carbamazepine | drug
fluoxetine | drug
thiothixene | drug
alprazolam | drug
Morphine | drug
morphine | drug
morphine | drug
edetate calcium disodium | drug
Edetate calcium disodium | drug
zinc insulin | drug
zinc | drug
brinzolamide | drug
brinzolamide | drug
salicylate | drug
brinzolamide | drug
methamphetamine | drug
methamphetamine | drug
pargyline | drug
MPTP | drug
amphetamine | drug
apomorphine | drug
Methamphetamine | drug
pargyline | drug
pargyline | drug
zinc | drug
zinc | drug
acetylsalicylic acid | drug
ketorolac tromethamine | drug
dipyridamole | drug
sulfinpyrazone | drug
pentamidine | drug
pentamidine | drug
pentamidine | drug
foscarnet | drug
amphotericin B | drug
pentamidine | drug
Ganciclovir | drug
foscarnet | drug
ganciclovir | drug
irinotecan | drug
5-FU | drug
leucovorin | drug
Irinotecan | drug
irinotecan | drug
irinotecan | drug
levothyroxine | drug
Levothyroxine Sodium | drug
levothyroxine sodium | drug
aluminum hydoxide | drug
cholestyramine | drug
colestipol hydrochloride | drug
ferrous sulfate | drug
sodium polystyrene sulfonate | drug
sucralfate | drug
levothyroxine sodium | drug
asparaginase | drug
clofibrate | drug
5-fluorouracil | drug
furosemide | drug
meclofenamic acid | drug
mefenamic acid | drug
methadone | drug
perphenazine | drug
phenylbutazone | drug
phenytoin | drug
tamoxifen | drug
aminoglutethimide | drug
p-aminosalicylic acid | drug
amiodarone | drug
thiocyanate | drug
perchlorate | drug
pertechnetate | drug
carbamazepine | drug
chloral hydrate | drug
diazepam | drug
dopamine | drug
ethionamide | drug
heparin | drug
insulin | drug
levodopa | drug
lovastatin | drug
lithium | drug
6-mercaptopurine | drug
metoclopramide | drug
mitotane | drug
nitroprusside | drug
phenobarbital | drug
phenytoin | drug
resorcinol | drug
rifampin | drug
Amiodarone | drug
Amiodarone | drug
Insulin | drug
insulin | drug
Ketamine | drug
levothyroxine sodium | drug
ketamine | drug
Maprotiline | drug
Sodium Iodide | drug
Sodium Pertechnetate Tc99m | drug
Somatrem | drug
Somatropin | drug
somatrem | drug
somatropin | drug
Theophylline | drug
Theophylline | drug
phenelzine sulfate | drug
tranylcypromine sulfate | drug
pargyline | drug
L-phenylalanine | drug
Selegiline | drug
L-phenylalanine | drug
selegiline | drug
L-phenylalanine | drug
simvastatin | drug
clarithromycin | drug
clarithromycin | drug
simvastatin | drug
clarithromycin | drug
simvastatin | drug
sodium bicarbonate | drug
Clarithromycin | drug
simvastatin | drug
atorvastatin | drug
cerivastatin | drug
lovastatin | drug
simvastatin | drug
galangin | drug
vancomycin | drug
vancomycin | drug
galangin | drug
vancomycin | drug
caffeine | drug
theophylline | drug
theophylline | drug
theophylline | drug
CGS 21680 | drug
theophylline | drug
Probenecid | drug
loracarbef | drug
probenecid | drug
loracarbef | drug
Carboplatin | drug
Amantadine | drug
clidinium | drug
Clidinium | drug
levodopa | drug
ketoconazole | drug
ertapenem | drug
probenecid | drug
probenecid | drug
ertapenem | drug
ertapenem | drug
probenecid | drug
probenecid | drug
ertapenem | drug
ertapenem | drug
digoxin | drug
vinblastine | drug
ertapenem | drug
ertapenem | drug
probenecid | drug
Ethanol | drug
ethanol | drug
ethanol | drug
ethanol | drug
zaleplon | drug
ethanol | drug
Imipramine | drug
imipramine | drug
Paroxetine | drug
paroxetine | drug
paroxetine | drug
zaleplon | drug
Thioridazine | drug
thioridazine | drug
Venlafaxine | drug
zaleplon | drug
venlafaxine | drug
zaleplon | drug
venlafaxine | drug
zaleplon | drug
venlafaxine | drug
Promethazine | drug
zaleplon | drug
promethazine | drug
zaleplon | drug
zaleplon | drug
promethazine | drug
Rifampin | drug
zaleplon | drug
rifampin | drug
zaleplon | drug
zaleplon | drug
rifampin | drug
phenytoin | drug
carbamazepine | drug
phenobarbital | drug
zaleplon | drug
zaleplon | drug
zaleplon | drug
erythromycin | drug
zaleplon | drug
erythromycin | drug
ketoconazole | drug
zaleplon | drug
zaleplon | drug
Diphenhydramine | drug
Diphenhydramine | drug
zaleplon | drug
diphenhydramine | drug
Cimetidine | drug
Cimetidine | drug
zaleplon | drug
cimetidine | drug
zaleplon | drug
cimetidine | drug
Zaleplon | drug
zaleplon | drug
Digoxin | drug
digoxin | drug
Warfarin | drug
warfarin | drug
warfarin | drug
Ibuprofen | drug
Ibuprofen | drug
zaleplon | drug
ibuprofen | drug
zaleplon | drug
zaleplon | drug
epinephrine | drug
norepinephrine | drug
epinephrine | drug
Duloxetine | drug
duloxetine | drug
duloxetine | drug
fluvoxamine | drug
duloxetine | drug
duloxetine | drug
duloxetine | drug
duloxetine | drug
Paroxetine | drug
duloxetine | drug
paroxetine | drug
fluoxetine | drug
quinidine | drug
Duloxetine | drug
duloxetine | drug
Duloxetine | drug
duloxetine | drug
desipramine | drug
desipramine | drug
Duloxetine | drug
nortriptyline | drug
amitriptyline | drug
imipramine | drug
propafenone | drug
flecainide | drug
Duloxetine | drug
thioridazine | drug
Duloxetine | drug
thioridazine | drug
duloxetine | drug
Duloxetine | drug
Alcohol | drug
Duloxetine | drug
ethanol | drug
Duloxetine | drug
alcohol | drug
Duloxetine | drug
Duloxetine | drug
ethanol | drug
Duloxetine | drug
Duloxetine | drug
Duloxetine | drug
Duloxetine | drug
duloxetine | drug
Duloxetine | drug
aluminum | drug
magnesium | drug
Duloxetine | drug
famotidine | drug
duloxetine | drug
duloxetine | drug
paroxetine | drug
succinylcholine | drug
succinylcholine | drug
succinylcholine | drug
succinylcholine | drug
succinylcholine | drug
succinylcholine | drug
succinylcholine | drug
vecuronium | drug
pancuronium | drug
atracurium | drug
Isoflurane | drug
enflurane | drug
nitrous oxide | drug
oxygen | drug
isoflurane | drug
enflurane | drug
enflurane | drug
isoflurane | drug
propofol | drug
bacitracin | drug
lincomycin | drug
clindamycin | drug
colistin | drug
sodium colistemethate | drug
lithium | drug
procainamide | drug
quinidine | drug
phenytoin | drug
carbamazepine | drug
phenytoin | drug
carbamazepine | drug
Nevirapine | drug
Nevirapine | drug
nevirapine | drug
nevirapine | drug
nevirapine | drug
nevirapine | drug
warfarin | drug
warfarin | drug
warfarin | drug
nevirapine | drug
Nevirapine | drug
Clarithromycin | drug
Clarithromycin | drug
Clarithromycin | drug
nevirapine | drug
clarithromycin | drug
clarithromycin | drug
azithromycin | drug
Efavirenz | drug
Efavirenz | drug
Ethinyl estradiol | drug
Norethindrone | drug
Ethinyl estradiol | drug
Norethindrone | drug
nevirapine | drug
Fluconazole | drug
Nevirapine | drug
nevirapine | drug
Indinavir | drug
Indinavir | drug
indinavir | drug
Ketoconazole | drug
Ketoconazole | drug
Nevirapine | drug
ketoconazole | drug
ketoconazole | drug
Lopinavir | drug
Ritonavir | drug
Lopinavir | drug
lopinavir | drug
ritonavir | drug
nevirapine | drug
Methadone | drug
Methadone | drug
Methadone | drug
nevirapine | drug
methadone | drug
Nelfinavir | drug
Nelfinavir | drug
nelfinavir | drug
nevirapine | drug
Rifabutin | drug
Rifabutin | drug
Rifabutin | drug
rifabutin | drug
Rifampin | drug
Nevirapine | drug
Nevirapine | drug
rifampin | drug
nevirapine | drug
nevirapine | drug
rifabutin | drug
Saquinavir | drug
Saquinavir | drug
saquinavir | drug
nevirapine | drug
methadone | drug
methadone | drug
Nevirapine | drug
Amiodarone | drug
disopyramide | drug
lidocaine | drug
Carbamazepine | drug
clonazepam | drug
ethosuximide | drug
Itraconazole | drug
Diltiazem | drug
nifedipine | drug
verapamil | drug
Cyclophosphamide | drug
Ergotamine | drug
Cyclosporin | drug
tacrolimus | drug
sirolimus | drug
Cisapride | drug
Fentanyl | drug
Nevirapine | drug
Warfarin | drug
Fulvestrant | drug
fulvestrant | drug
Fulvestrant | drug
fulvestrant | drug
fulvestrant | drug
fulvestrant | drug
fulvestrant | drug
fulvestrant | drug
fulvestrant | drug
Fulvestrant | drug
fulvestrant | drug
Fulvestrant | drug
fulvestrant | drug
Fulvestrant | drug
fulvestrant | drug
fulvestrant | drug
digoxin | drug
digoxin | drug
propranolol | drug
flecainide | drug
propranolol | drug
propranolol | drug
propranolol | drug
flecainide | drug
Flecainide | drug
flecainide | drug
phenytoin | drug
phenobarbital | drug
carbamazepine | drug
flecainide | drug
cimetidine | drug
flecainide | drug
amiodarone | drug
flecainide | drug
flecainide | drug
flecainide | drug
quinidine | drug
flecainide | drug
flecainide | drug
disopyramide | drug
verapamil | drug
disopyramide | drug
verapamil | drug
nifedipine | drug
diltiazem | drug
ethanol | drug
ethanol | drug
ethanol | drug
dextrose | drug
ethanol | drug
glycine | drug
glutamate | drug
glycine | drug
glycine | drug
glutamate | drug
glycine | drug
glutamate | drug
glutamate | drug
glycine | drug
glycine | drug
phosphate | drug
Vitamin D3 | drug
celecoxib | drug
Celecoxib | drug
celecoxib | drug
celecoxib | drug
celecoxib | drug
celecoxib | drug
fluconazole | drug
lithium | drug
furosemide | drug
celecoxib | drug
glyburide | drug
ketoconazole | drug
methotrexate | drug
phenytoin | drug
tolbutamide | drug
warfarin | drug
Furosemide | drug
furosemide | drug
Fluconazole | drug
fluconazole | drug
celecoxib | drug
celecoxib | drug
fluconazole | drug
fluconazole | drug
Lithium | drug
lithium | drug
lithium | drug
lithium | drug
lithium | drug
Methotrexate | drug
methotrexate | drug
methotrexate | drug
Warfarin | drug
celecoxib | drug
warfarin | drug
warfarin | drug
celecoxib | drug
warfarin | drug
warfarin | drug
Lapatinib | drug
Lapatinib | drug
lapatinib | drug
Lapatinib | drug
Lapatinib | drug
Lapatinib | drug
lapatinib | drug
lapatinib | drug
Ketoconazole | drug
ketoconazole | drug
lapatinib | drug
Carbamazepine | drug
carbamazepine | drug
lapatinib | drug
Lapatinib | drug
lapatinib | drug
lapatinib | drug
capecitabine | drug
capecitabine | drug
Etonogestrel | drug
acetaminophen | drug
ampicillin | drug
tetracycline | drug
Phenobarbital | drug
atorvastatin | drug
clofibrate | drug
cyclosporine | drug
morphine | drug
phenylbutazone | drug
prednisolone | drug
rifampin | drug
temazepam | drug
theophylline | drug
vitamin C | drug
glutamic acid | drug
nisoldipine | drug
cimetidine 400 mg | drug
Ranitidine | drug
nisoldipine | drug
phenytoin | drug
nisoldipine | drug
phenytoin | drug
nisoldipine | drug
atenolol | drug
propranolol | drug
Propranolol | drug
nisoldipine | drug
atenolol | drug
Quinidine | drug
nisoldipine | drug
nisoldipine | drug
quinidine | drug
nisoldipine | drug
warfarin | drug
digoxin | drug
flecainide | drug
vinblastine | drug
thioridazine | drug
Amitriptyline | drug
cinacalcet | drug
amitriptyline | drug
amitriptyline | drug
Ketoconazole | drug
ketoconazole | drug
cinacalcet | drug
ketoconazole | drug
erythromycin | drug
itraconazole | drug
Tetracycline | drug
penicillin | drug
calcium | drug
L-lysine | drug
calcium | drug
Dicumarol | drug
warfarin | drug
alcohol | drug
ethchlorvynol | drug
DEET | drug
N-diethyl-m-toluamide | drug
DEET | drug
DEET | drug
Desmopressin | drug
Desmopressin | drug
disulfiram | drug
ethanol | drug
disulfiram | drug
ethanol | drug
ethanol | drug
disulfiram | drug
ethanol | drug
ethanol | drug
ethanol | drug
ethanol | drug
ethanol | drug
ethanol | drug
ethanol | drug
Alcohol | drug
insulin | drug
Cholestyramine | drug
colestipol | drug
hydrochlorothiazide | drug
cholestyramine | drug
colestipol | drug
hydrochlorothiazide | drug
ACTH | drug
norepinephrine | drug
tubocurarine | drug
Lithium | drug
lithium | drug
lithium | drug
lithium | drug
Hydrochlorothiazide | drug
Hydrochlorothiazide | drug
cimetidine | drug
verografin | drug
iodamide | drug
cimetidine | drug
verografine | drug
iodamide | drug
verografine | drug
iodamide | drug
cimetidine | drug
cardiotrast | drug
cimetidine | drug
verografine | drug
iodamide | drug
Medroxyprogesterone Acetate | drug
L-histidine | drug
medroxyprogesterone acetate | drug
L-histidine | drug
disulfiram | drug
