Antiarrhythmics | group
antidepressants | group
tricyclic antidepressants | group
TCAs | group
phenothiazines | group
Type 1C antiarrhythmics | group
TCA | group
TCA | group
TCA | group
antacids | group
proton pump inhibitors | group
nondepolarizing agents | group
antibiotics | group
aminoglycosides | group
tetracyclines | group
polymyxins | group
magnesium | group
anesthetics | group
nondepolarizing neuromuscular blocking agents | group
antithrombotic agent | group
contraceptives | group
opiate | group
Antiarrhythmics | group
Anticonvulsants | group
Antifungals | group
Calcium channel blockers | group
Ergot alkaloids | group
Immunosuppressants | group
Opiate agonists | group
Antithrombotics | group
antiretroviral | group
antiestrogen | group
digitalis preparations | group
beta-adrenergic blocking agents | group
beta blockers | group
beta blockers | group
anticoagulants | group
diuretics | group
nonsteroidal anti-inflammatory drugs | group
NSAIDs | group
ACE inhibitors | group
ACE inhibitors | group
NSAIDs | group
Angiotensin Converting Enzyme (ACE) inhibitors | group
ACE-inhibitors | group
NSAIDs | group
thiazides | group
antibiotics | group
anticonvulsants | group
antifungals | group
protease inhibitors | group
histamine H2 receptor antagonist | group
antihypertensive | group
beta-blockers | group
antihypertensive | group
tricyclic antidepressants | group
bacteriostatic antibiotic | group
barbiturates | group
MAOIs | group
antiretroviral agents | group
protease inhibitors | group
macrolide antibiotics | group
azole antifungals | group
thiazide diuretics | group
barbiturates | group
narcotics | group
Antidiabetic drugs | group
antidiabetic drug | group
antihypertensive drugs | group
resins | group
anionic exchange resins | group
resins | group
Corticosteroids | group
Skeletal muscle relaxants | group
muscle relaxant | group
diuretics | group
Diuretic agents | group
Non-steroidal Anti-inflammatory Drugs | group
non-steroidal anti-inflammatory agent | group
loop diuretics | group
potassium-sparing diuretics | group
thiazide diuretics | group
non-steroidal anti-inflammatory agents | group
diuretic | group
opioid | group
selective opioid agonists | group
opioid | group
mu-selective opioids | group
delta(1)-selective opioids | group
kappa-selective opioids | group
H1 Blockers | group
H2 Blockers | group
H1 blockers | group
H2 blockers | group
opiates | group
opioid | group
opioid analgesics | group
opioid | group
anticoagulants | group
benzodiazepines | group
antihistamines | group
estrogens | group
H2-antagonists | group
phenothiazines | group
salicylates | group
succinimides | group
sulfonamides | group
tricyclic antidepressants | group
anticoagulants | group
corticosteroids | group
coumarin | group
estrogens | group
contraceptives | group
vitamin D | group
coumarin | group
ergot-type medications | group
Selective serotonin reuptake inhibitors | group
SSRIs | group
5-HT1 agonists | group
SSRI | group
synthetic 3-hydroxy-3-methylglutaryl coenzyme A (HMGCoA) reductase inhibitor | group
HMGCoA reductase inhibitors | group
tricyclic antidepressants | group
barbiturates | group
sedatives | group
barbiturates | group
sedating drugs | group
Narcotic analgesics | group
Tricyclic antidepressants | group
tricyclic antidepressants | group
Beta blockers | group
digitalis | group
calcium channel blockers | group
beta-blockers | group
anesthetics | group
HIV protease inhibitors | group
fibrates | group
HMG-CoA reductase inhibitor class | group
Coumarin Anticoagulant | group
HMG-CoA reductase inhibitor | group
coumarin anticoagulant | group
anticoagulants | group
coumarin anticoagulants | group
anticoagulants | group
Hypoglycemic Agents | group
quinolones | group
quinolone | group
Quinolones | group
Antacids | group
quinolones | group
quinolones | group
multivitamins | group
Quinolones | group
anticoagulants | group
quinolone class antimicrobial | group
nonsteroidal anti-inflammatory drug | group
nonsteroidal anti-inflammatory agents | group
quinolones | group
anticoagulant | group
Uricosuric Agents | group
uricosuric agents | group
uricosuric agents | group
uricosuric agents | group
Thiazide Diuretics | group
thiazide diuretics | group
thiazide diuretics | group
thiazide diuretics | group
Cytotoxic Agents | group
cytotoxic agents | group
antiarrhythmics | group
diuretics | group
Antacids | group
antacids | group
antacid | group
H2 Blockers | group
Proton Pump Inhibitors | group
H2 blockers | group
proton pump inhibitors | group
H2 blockers | group
proton pump inhibitors | group
antacids | group
H2 blockers | group
proton pump inhibitors | group
ergot alkaloids | group
antibiotic | group
diuretic | group
vaccines | group
Androgens | group
anticoagulant | group
androgens | group
androgens | group
NSAIDs | group
antacid | group
corticosteroids | group
corticosteroids | group
diuretics | group
Antibiotics | group
Macrolide antibiotics | group
corticosteroid | group
Anticholinesterases | group
anticholinesterase agents | group
corticosteroids | group
anticholinesterase agents | group
corticosteroid | group
Anticoagulants | group
corticosteroids | group
Antidiabetics | group
corticosteroids | group
antidiabetic agents | group
corticosteroids | group
corticosteroids | group
Digitalis glycosides | group
digitalis glycosides | group
corticosteroids | group
corticosteroid | group
Estrogens | group
contraceptives | group
Estrogens | group
corticosteroids | group
barbiturates | group
corticosteroids | group
corticosteroid | group
macrolide antibiotics | group
corticosteroids | group
corticosteroids | group
corticosteroid | group
Nonsteroidal anti-inflammatory agents | group
NSAIDS | group
nonsteroidal antiinflammatory agents | group
corticosteroids | group
corticosteroids | group
salicylates | group
corticosteroids | group
Corticosteroids | group
Vaccines | group
corticosteroid | group
live vaccines | group
inactivated vaccines | group
Corticosteroids | group
live attenuated vaccines | group
vaccines | group
corticosteroid | group
immunosuppressive | group
immunosuppressive | group
Nitrates | group
nitrates | group
Beta-blocking Agents | group
beta-blocking agents | group
Hypoglycemics | group
hypoglycemic agents | group
anti-arrhythmic agents | group
cardiac glycosides | group
tricyclic anti-depressants | group
Anti-arrhythmics | group
tricyclic anti-depressants | group
Cardiac glycosides | group
b-blocking drug | group
digitalis preparations | group
antibiotics | group
aminoglycosides | group
polymyxins | group
antibiotics | group
aminoglycosides | group
polymyxins | group
muscle relaxants | group
narcotic analgesics | group
anesthetics | group
phenothiazines | group
tranquilizers | group
sedative-hypnotics | group
CNS depressants | group
aminoglycoside antibiotics | group
salicylates | group
salicylate | group
diuretics | group
antihypertensive drugs | group
ganglionic adrenergic blocking drugs | group
peripheral adrenergic blocking drugs | group
NSAIDs | group
anti-helminthic | group
iron supplement | group
Catecholamine-depleting drugs | group
beta-blocking agents | group
catecholamine depletors | group
beta-adrenergic antagonists | group
alpha-adrenergic stimulants | group
beta-blockers | group
beta-adrenoceptor blocking agents | group
nonsteroidal anti-inflammatory drugs | group
contraceptives | group
nitrosourea | group
nitrosoureas | group
nitrosourea | group
nitrosourea | group
nitrosourea | group
nitrates | group
corticosteroids | group
cephalosporins | group
aminoglycoside antibiotics | group
Cephalosporins | group
thyroid hormone | group
corticosteroids | group
sex steroids | group
NSAIDs | group
NSAIDs | group
NSAIDs | group
ACE inhibitors | group
NSAIDs | group
ACE inhibitors | group
NSAIDs | group
ACE inhibitors | group
NSAIDs | group
thiazides | group
NSAIDs | group
NSAID | group
NSAIDs | group
NSAIDs | group
Antacids | group
antacid | group
dopamine antagonists | group
butyrophenones | group
phenothiazines | group
ergot alkaloids | group
antihypertensive drugs | group
CNS depressant drugs | group
anesthetics | group
multivitamins | group
sulfonamides | group
thiazide diuretics | group
central nervous system depressants | group
benzodiazepines | group
narcotics | group
anesthetics | group
muscle relaxants | group
cyclic antidepressants | group
benzodiazepine | group
benzodiazepine | group
benzodiazepines | group
benzodiazepines | group
long-acting benzodiazepine | group
long-acting benzodiazepines | group
short-acting benzodiazepines | group
benzodiazepines | group
benzodiazepine | group
sedative | group
tricyclic antidepressants | group
TCAs | group
TCA | group
TCA | group
antidepressants | group
phenothiazines | group
selective serotonin reuptake inhibitors | group
SSRIs | group
SSRI | group
TCA | group
SSRI | group
T.A. | group
SSRIs | group
tricyclic antidepressants | group
tricyclic antidepressant | group
tricyclic antidepressant | group
TCA | group
TCA | group
anticholinergic | group
sympathomimetic drugs | group
antidepressant drugs | group
psychotropic agents | group
tranquilizers | group
sedative | group
hypnotics | group
benzodiazepines | group
major tranquilizers | group
tricyclic antidepressants | group
tricyclic antidepressants | group
tricyclic antidepressants | group
tricyclic antidepressant | group
tricyclic antidepressants | group
Estrogen | group
CNS depressants | group
antihistamines | group
anticholinergics | group
antihistamines | group
monoamine oxidase (MAO) inhibitors | group
antihistamines | group
antihistamines | group
barbiturates | group
anticholinesterases | group
monoamine oxidase (MAO) inhibitors | group
narcotic analgesic | group
anesthetics | group
tranquilizers | group
sedative-hypnotics | group
CNS depressants | group
aminoglycoside | group
cephalosporins | group
quinolones | group
anticoagulant | group
central nervous system depressants | group
sedatives | group
hypnotics | group
opioids | group
anesthetics | group
barbiturates | group
tricyclic antidepressants | group
phenothiazines | group
tranquilizers | group
skeletal muscle relaxants | group
antihistamines | group
MAO inhibitors | group
MAO inhibitors | group
Mixed Agonist/Antagonist Opioid Analgesics | group
Agonist/antagonist analgesics | group
pure agonist opioid analgesic | group
opioid | group
mixed agonist/antagonist analgesics | group
Benzodiazepines | group
analgesic drugs | group
benzodiazepine | group
sulfonylureas | group
nonsteroidal anti-inflammatory agents | group
salicylates | group
sulfonamides | group
coumarins | group
monoamine oxidase inhibitors | group
beta adrenergic blocking agents | group
thiazides | group
diuretics | group
corticosteroids | group
thyroid products | group
estrogens | group
contraceptives | group
calcium channel blocking drugs | group
fluoroquinolone antibiotic | group
hypoglycemic agents | group
carbonic anhydrase inhibitors | group
folic acid antagonists | group
antidepressants | group
barbiturates | group
corticosteroids | group
Opioid analgesics | group
Antihypertensive | group
ganglionic blocking agents | group
estrogen | group
contraceptives | group
estrogen | group
vasodilators | group
calcium channel blockers | group
organic nitrates | group
macrolide antibiotics | group
macrolides | group
Antacids | group
H 2 receptor antagonists | group
antacids | group
H 2 -receptor antagonists | group
Anticoagulants | group
anticoagulants | group
aminoglycoside antibiotics | group
cephalosporin antibiotics | group
antacid | group
antihistamines | group
CNS depressants | group
barbiturates | group
tranquilizers | group
antihistamines | group
CNS depressant drugs | group
Monoamine oxidase (MAO) inhibitors | group
antihistamines | group
androgens | group
estrogens | group
progestins | group
glucocorticoids | group
contraceptives | group
phenothiazines | group
dopamine antagonists | group
Anticoagulants | group
platelet aggregation inhibitors | group
nonsteroidal anti-inflammatory drugs | group
NSAIDs | group
potassium-sparing diuretics | group
antihypertensive agents | group
non-steroidal anti-inflammatory drug | group
beta blocker | group
beta-adrenergic blocking agents | group
calcium channel blockers | group
antihistamines | group
H1-blocking agents | group
tricyclic antidepressants | group
phenothiazines | group
anticonvulsant | group
anticonvulsant | group
live typhoid vaccines | group
anticoagulants | group
anion exchange resin | group
beta-blockers | group
digitalis preparations | group
resin | group
Bile acid binding resins | group
Monoamine Oxidase Inhibitors | group
serotonin reuptake inhibitor drug | group
monoamine oxidase inhibitors | group
MAOI | group
MAOI | group
MAOIs | group
MAOI | group
MAOI | group
Benzodiazepines | group
Benzodiazepines | group
benzodiazepines | group
anticoagulants | group
anticoagulant | group
antihypertensive drugs | group
ganglionic peripheral adrenergic blocking drugs | group
digitalis | group
hypoglycemic agents | group
b-lactams | group
azole antifungals | group
protease inhibitors | group
glucocorticoids | group
contraceptives | group
protease inhibitors | group
anticonvulsants | group
anti-malarial drugs | group
centrally acting drugs | group
anticonvulsant agents | group
anaesthetic agents | group
MAO inhibitors | group
antihistamines | group
antihistamines | group
tricyclic antidepressants | group
barbiturates | group
central nervous system depressants | group
sympathomimetic drugs | group
monoamine oxidase inhibitors | group
sympathomimetics | group
Beta-adrenergic blocking agents | group
sympathomimetics | group
digitalis | group
Antacids | group
warfarin-type anticoagulants | group
tricyclic antidepressants | group
warfarin anticoagulants | group
anticoagulant | group
central nervous system (CNS) depressants | group
MAO inhibitors | group
anticholinergic | group
sympathomimetic drugs | group
tricyclic antidepressants | group
tricyclic antidepressants | group
tricyclic antidepressants | group
barbiturates | group
tricyclic antidepressants | group
TCAs | group
TCA | group
TCA | group
antidepressants | group
phenothiazines | group
Type 1C antiarrhythmics | group
selective serotonin reuptake inhibitors | group
SSRIs | group
TCA | group
SSRI | group
TCA | group
SSRI | group
TCAs | group
SSRIs | group
TCA | group
tricyclic antidepressant class | group
tricyclic antidepressant agent | group
tricyclic antidepressant agent | group
TCA | group
tricyclic antidepressant class | group
carbonic anhydrase inhibitors | group
salicylate | group
polyene antibiotics | group
polyene antibiotics | group
beta-adrenergic blocking agents | group
calcium channel blocking agents | group
angiotensin converting enzyme inhibitors | group
digitalis | group
methylxanthines | group
methylxanthines | group
corticosteroids | group
corticosteroids | group
corticosteroids | group
antacids | group
digitalis glycosides | group
anxiolytics | group
hypnotics | group
sedatives | group
benzodiazepines | group
non-opioid analgesics | group
antidepressants | group
benzodiazepines | group
psychotropic drugs | group
benzodiazepines | group
psychotropics | group
benzodiazepine | group
psychotropic drug | group
antihypertensive drugs | group
tricyclic antidepressants | group
antidepressants | group
selective serotonin reuptake inhibitors | group
antidepressants | group
phenothiazines | group
Type 1C antiarrhythmics | group
photosensitizing agents | group
thiazide diuretics | group
sulfonylureas | group
phenothiazines | group
sulfonamides | group
tetracyclines | group
CNS depressants | group
barbiturates | group
opiates | group
sedatives | group
anesthetics | group
Alpha-agonists | group
beta-blockers | group
anti-hypertensives | group
cardiac glycosides | group
Tricyclic antidepressants | group
tricyclic antidepressants | group
corticosteroids | group
corticosteroid | group
corticosteroids | group
corticosteroid | group
Corticosteroids | group
salicylate | group
salicylate | group
cortico-steroids | group
corticosteroids | group
anticoagulants | group
anticoagulants | group
corticosteroids | group
bronchodilators | group
corticosteroids | group
antidiabetic products | group
ACE inhibitors | group
fibrates | group
monoamine oxidase (MAO) inhibitors | group
salicylates | group
somatostatin analog | group
sulfonamide antibiotics | group
corticosteroids | group
diuretics | group
sympathomimetic agents | group
phenothiazine derivatives | group
thyroid hormones | group
estrogens | group
progestogens | group
contraceptives | group
Beta-blockers | group
beta-blockers | group
Insulins | group
insulins | group
insulins | group
tetracyclines | group
anticoagulant | group
anticoagulant | group
tetracyclines | group
penicillin | group
tetracyclines | group
antacids | group
Barbiturates | group
contraceptives | group
Central Nervous System Depressants | group
central nervous system depressants | group
opioids | group
sedatives | group
hypnotics | group
tranquilizers | group
benzodiazepines | group
anesthetics | group
phenothiazines | group
skeletal muscle relaxants | group
MAO Inhibitors | group
MAOI | group
MAO inhibitors | group
opioid analgesics | group
antifungal drug | group
Anticoagulants | group
cephalosporin antibiotics | group
Beta-adrenergic Blocking Agents | group
beta-blocking agents | group
Nitrates | group
nitrates | group
Digitalis | group
Coumarin Anticoagulants | group
coumarin anticoagulants | group
calcium-entry blockers | group
calcium-entry blocking agents | group
calcium-entry antagonists | group
anticonvulsants | group
folic acid antagonists | group
highly active antiretroviral | group
highly active antiretroviral | group
antiretroviral | group
Antiretroviral | group
reverse transcriptase inhibitors | group
protease inhibitor | group
antiretroviral drugs | group
antineoplastic drugs | group
vitamin | group
anticonvulsant medications | group
diuretic | group
sulfonylurea | group
Hormonal Contraceptives | group
combined oral contraceptives | group
progestational contraceptives | group
Tetracyclines | group
tetracyclines | group
Vitamin A | group
retinoids | group
vitamin A | group
retinoids | group
anticoagulants of the coumarin type | group
retinoids | group
retinoid | group
AED | group
dihydropyridine calcium antagonists | group
contraceptives | group
Antiepileptic drugs | group
AEDs | group
AED | group
AED | group
AED | group
AED | group
contraceptives | group
contraceptive | group
hormonal contraceptives | group
contraceptives | group
contraceptives | group
Calcium Antagonist | group
gold medication | group
Gold | group
MAO inhibitors | group
antihypertensive drugs | group
Beta-blockers | group
NSAIDs | group
barbiturates | group
tranquilizers | group
MAO inhibitors | group
beta-adrenergic blocking agents | group
adrenergic bronchodilators | group
phenothiazines | group
Antacids | group
Antacids | group
tricyclic antidepressants | group
TCAs | group
TCA | group
TCA | group
antidepressants | group
phenothiazines | group
Type 1C antiarrhythmics | group
serotonin reuptake inhibitors | group
SSRIs | group
SSRI | group
TCA | group
SSRI | group
TCAs | group
SSRIs | group
tricyclic antidepressants | group
tricyclic antidepressant | group
TCA | group
TCA | group
cephalosporin antibiotics | group
cephalosporin antibiotics | group
adrenergic | group
serotonergic agents | group
Adrenergic Agents | group
sympathomimetic agents | group
vasopressor | group
dopaminergic agents | group
adrenergic agents | group
Serotonergic Agents | group
serotonergic agents | group
serotonergic agents | group
antidepressants | group
selective serotonin reuptake inhibitors | group
SSRIs | group
serotonergic agents | group
serotonergic agents | group
diuretics | group
aminoglycoside | group
cephalosporin antibiotics | group
anticoagulant | group
non- steroidal antiinflammatory agent | group
loop diuretics | group
potassium- sparing diuretics | group
thiazide diuretics | group
non- steroidal anti- inflammatory agents | group
diuretic | group
aminoglycosides | group
aminoglycoside antibiotics | group
cephalosporins | group
diuretics | group
glucocorticoids | group
retinoids | group
Antacids | group
antacids | group
vitamins | group
H2 Blockers | group
Proton Pump Inhibitors | group
PPIs | group
H2 blockers | group
PPIs | group
Nonsteroidal Antiinflammatory Drug | group
NSAIDs | group
nonsteroidal anti-inflammatory drugs | group
NSAID | group
nonsteroidal anti-inflammatory drugs | group
NSAIDs | group
NSAIDs | group
bisphosphonates | group
NSAIDs | group
Bisphosphonates | group
beta-blockers | group
digitalis | group
Beta Blockers | group
beta-blockers | group
Digitalis | group
Anesthetics | group
anesthetics | group
calcium channel blockers | group
anesthetics | group
calcium channel blockers | group
Benzodiazepines | group
anticholinergic | group
narcotic analgesics | group
phenothiazines | group
antipsychotics | group
tricyclic antidepressants | group
antiarrhythmics | group
antihistamines | group
tetracyclines | group
anticoagulant | group
anticoagulant | group
tetracycline class | group
antibiotics | group
penicillins | group
tetracyclines | group
contraceptives | group
contraceptives | group
sulfonylureas | group
nonsteroidal anti-inflammatory agents | group
azoles | group
salicylates | group
sulfonamides | group
coumarins | group
monoamine oxidase inhibitors | group
beta adrenergic blocking agents | group
salicylate | group
thiazides | group
diuretics | group
corticosteroids | group
phenothiazines | group
thyroid products | group
estrogens | group
contraceptives | group
sympathomimetics | group
calcium channel blocking drugs | group
hypoglycemic agents | group
synthetic steroidal estrogen | group
synthetic steroidal progestogen | group
dialysis solutions | group
cardiac glycosides | group
Antibiotics | group
antibiotics | group
antibiotics | group
antidepressants | group
antipsychotics | group
cholinesterase inhibitors | group
sulfonamides | group
anticoagulant agents | group
Thrombolytic agents | group
thrombolytic agents | group
antiplatelet agents | group
thrombolytics | group
anticoagulants | group
Beta-Blockers | group
adrenergic beta-receptor blockers | group
calcium blockers | group
digitalis preparations | group
benzodiazepines | group
anxiolytic | group
hypnotic drugs | group
benzodiazepine | group
3-hydroxy-1,4-benzodiazepine | group
ACE Inhibitors | group
Angiotensin II Receptor Antagonists | group
ACE inhibitors | group
angiotensin II receptor antagonists | group
ACEI | group
ARB | group
ACEI | group
ARB | group
ACE Inhibitors | group
Angiotensin II Receptor Antagonists | group
ACE inhibitors | group
angiotensin II receptor antagonists | group
ACE inhibitor | group
Nonsteroidal Anti-Inflammatory Drugs | group
NSAIDs | group
NSAID | group
potassium-sparing antihypertensives | group
NSAIDs | group
NSAIDs | group
resin | group
phenylbutazone | group
thiazide diuretics | group
estrogens | group
progestins | group
digitalis | group
resin | group
resin | group
digitalis | group
resin | group
resin | group
fat soluble vitamins | group
resin | group
fat-soluble vitamins | group
RESIN | group
RESIN | group
anticoagulant | group
beta-adrenergic receptor blocking agent | group
beta-blockers | group
beta-blocker | group
calcium antagonists | group
beta-adrenergic blocking agents | group
beta-adrenergic blocking agents | group
calcium antagonist | group
calcium antagonist | group
dihydropyridine derivative | group
beta-blockers | group
beta-blockers | group
beta-blockers | group
analgesics | group
angiotensin-converting enzyme (ACE) inhibitors | group
anticonvulsants | group
benzodiazepines | group
beta blockers | group
calcium-channel blockers | group
nitrates | group
diuretics | group
H2 antagonists | group
HMG-CoA reductase inhibitors | group
prostaglandin synthetase inhibitors | group
NSAIDs | group
quinolone anti-infectives | group
penicillins | group
Potassium-depleting diuretics | group
digitalis | group
digitalis | group
macrolide antibiotics | group
digitalis | group
Antacids | group
Thyroid | group
sympathomimetics | group
beta-adrenergic blockers | group
calcium channel blockers | group
phenothiazines | group
butyrophenones | group
thioxanthines | group
azole antifungals | group
macrolide antibiotics | group
HIV protease inhibitors | group
benzodiazepines | group
benzodiazepines | group
benzodiazepines | group
antibiotic agents | group
antimicrobial agents | group
antibiotics | group
antibiotics | group
anticholinesterase | group
anesthetics | group
antiarrhythmic agents | group
contraceptive product | group
estrogen | group
contraceptive | group
quinolones | group
quinolone antimicrobial | group
Quinolones | group
antacid | group
antacids | group
multivitamin preparations | group
antiarrhythmic drugs | group
tricyclic antidepressants | group
anticholinergic agents | group
Anticholinergic agents | group
glucocorticoids | group
glucocorticoids | group
psychostimulants | group
glucocorticoids | group
NSAIDs | group
thrombolytics | group
Ergot | group
ergot-type medications | group
5-HT1 agonists | group
5-HT1 agonists | group
Selective serotonin reuptake inhibitors | group
SSRIs | group
SSRI | group
contraceptive | group
Antiepileptic Drugs | group
AEDs | group
AEDs | group
AEDs | group
AEDs | group
AEDs | group
AEDs | group
AEDs | group
Contraceptives | group
contraceptive | group
contraceptive | group
antibiotics | group
aminoglycosides | group
polymyxin | group
cephalosporins | group
aminoglycosides | group
aminoglycosides | group
